bms

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
121,0.048,0.162,0.023,0.375,0.120,4,7
122,0.038,0.376,0.037,1.000,0.366,4,4
123,0.000,0.000,0.006,0.143,0.062,4,4
124,0.037,0.282,0.072,0.333,0.206,9,3
125,0.130,0.232,0.097,0.556,0.386,6,8
126,0.006,0.083,0.012,0.200,0.037,5,1
127,0.088,0.424,0.093,1.000,0.442,4,4
128,0.030,0.167,0.024,0.250,0.093,3,2
129,1.000,1.000,1.000,0.000,1.000,0,1
130,0.000,1.000,0.000,0.000,0.000,3,0
131,0.000,0.000,0.000,1.000,0.000,1,1
132,1.000,0.000,1.000,0.000,1.000,0,1
133,1.000,1.000,1.000,1.000,1.000,0,0
134,1.000,1.000,1.000,1.000,1.000,0,0
135,0.050,0.167,0.000,0.000,0.000,1,3
136,0.058,0.225,0.065,0.750,0.162,4,3
137,0.000,1.000,0.010,0.000,0.068,3,0
138,0.043,0.056,0.000,0.667,0.000,2,3
139,1.000,1.000,1.000,0.000,0.000,1,0
140,1.000,0.000,1.000,0.000,1.000,0,4
141,0.109,0.120,0.078,0.375,0.243,5,6
142,0.026,0.167,0.029,0.333,0.048,3,1
143,0.014,0.067,0.014,0.400,0.069,4,3
144,0.000,0.000,0.000,0.000,0.000,2,4
145,1.000,1.000,1.000,0.000,1.000,0,1
146,1.000,1.000,1.000,1.000,1.000,0,0
147,1.000,1.000,1.000,1.000,1.000,0,0
148,0.026,0.083,0.050,0.143,0.191,4,4
149,1.000,0.000,1.000,0.000,1.000,0,1
150,0.000,0.000,0.000,0.500,0.000,2,1
151,0.083,0.111,0.062,0.667,0.125,2,3
152,0.044,0.170,0.040,0.750,0.125,4,3

weak OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,0.000,0.000,0.000,0.400,0.000,3,4
1,0.000,0.000,0.000,0.143,0.000,2,6
2,1.000,0.000,1.000,0.000,1.000,0,3
3,0.000,0.000,0.000,0.250,0.000,2,3
4,0.014,0.067,0.049,0.222,0.074,13,9
5,0.000,0.000,0.000,0.143,0.000,1,7
6,0.015,0.025,0.012,0.143,0.032,8,8
7,0.010,0.015,0.000,0.333,0.000,5,11
8,0.004,0.005,0.020,0.167,0.029,14,7
9,0.000,0.000,0.000,0.000,0.000,2,6
10,0.023,0.031,0.000,0.000,0.000,1,4
11,0.034,0.118,0.024,0.182,0.079,7,6
12,0.000,0.000,0.011,0.188,0.019,10,9
13,0.022,0.043,0.005,0.333,0.019,4,8
14,0.004,0.015,0.145,0.020,0.027,145,6
15,1.000,0.000,1.000,0.000,1.000,0,4
16,1.000,0.000,1.000,0.000,1.000,0,2
17,0.012,0.042,0.019,0.500,0.056,9,6
