bms

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
62,0.049,0.075,0.000,0.600,0.000,3,5
63,0.066,0.189,0.082,0.600,0.231,9,7
64,0.090,0.156,0.021,0.250,0.142,2,8
65,0.020,0.019,0.000,0.600,0.000,4,4
66,1.000,0.000,1.000,0.000,1.000,0,2
67,0.000,0.000,0.000,1.000,0.000,1,1
68,0.071,0.196,0.083,0.667,0.139,3,2
69,0.039,0.213,0.068,0.600,0.168,5,3
70,1.000,0.000,1.000,0.000,1.000,0,1
71,1.000,0.333,1.000,0.000,1.000,0,3
72,0.000,0.000,0.000,0.500,0.000,1,2
73,0.000,0.000,0.000,1.000,0.000,1,1
74,0.025,0.184,0.034,0.286,0.083,7,2
75,1.000,0.000,1.000,0.000,1.000,0,3
76,1.000,0.000,1.000,0.000,1.000,0,2
77,0.089,0.317,0.054,0.600,0.322,3,5
78,1.000,0.000,1.000,0.000,1.000,0,2
79,0.015,0.100,0.078,0.167,0.362,5,2
80,0.135,0.371,0.122,1.000,0.435,4,4
81,0.204,0.348,0.065,0.429,0.206,3,7
82,0.111,0.208,0.000,0.250,0.000,1,4
83,0.133,0.292,0.111,1.000,0.267,2,2
84,1.000,0.500,1.000,0.000,1.000,0,2
85,0.083,0.090,0.000,0.167,0.000,2,5
86,0.121,0.233,0.111,1.000,0.262,3,3
87,0.060,0.130,0.078,0.600,0.119,5,3
88,0.075,0.118,0.040,0.571,0.136,4,7
89,1.000,1.000,1.000,1.000,1.000,0,0
90,1.000,1.000,1.000,1.000,1.000,0,0
91,0.053,0.067,0.095,0.400,0.092,4,3
92,0.000,0.000,0.167,0.500,0.167,2,1
93,0.079,0.396,0.051,0.333,0.188,2,2
94,0.023,0.050,0.048,0.500,0.067,4,2
95,1.000,1.000,1.000,0.000,1.000,0,1
96,0.012,0.200,0.019,0.250,0.081,4,1
97,0.000,0.000,0.000,0.000,0.000,2,1
98,0.085,0.282,0.108,0.600,0.242,5,3
99,0.000,0.000,0.000,0.000,0.000,1,1
100,0.133,0.194,0.100,0.667,0.225,2,3
101,1.000,1.000,1.000,0.000,0.000,2,0
102,0.111,0.270,0.156,0.375,0.276,7,4
103,0.000,1.000,0.000,0.000,0.000,1,0
104,0.079,0.204,0.133,0.429,0.290,6,4
105,0.089,0.123,0.069,0.833,0.133,5,6
106,0.121,0.149,0.119,0.400,0.389,3,4
107,0.200,0.500,0.000,0.500,0.000,1,2
108,0.133,0.222,0.105,0.667,0.267,2,3
109,0.000,1.000,0.000,0.000,0.000,7,0
110,0.108,0.344,0.134,0.600,0.494,4,4
111,0.108,0.436,0.136,0.750,0.494,4,3
112,0.000,0.000,0.000,1.000,0.000,2,2
113,0.043,0.132,0.071,0.500,0.091,10,5
114,1.000,1.000,1.000,0.000,1.000,0,1
115,0.000,1.000,0.000,0.000,0.000,2,0
116,0.143,0.090,0.040,0.400,0.125,2,5
117,0.000,1.000,0.000,0.000,0.000,2,0
118,0.069,0.183,0.115,0.500,0.142,4,2
119,0.015,0.028,0.026,0.200,0.109,3,3
120,0.140,0.396,0.144,0.833,0.330,6,5
121,0.056,0.167,0.000,0.333,0.000,1,3
122,0.079,0.296,0.055,0.750,0.322,3,4
123,0.000,0.000,0.125,0.250,0.167,2,3
124,0.040,0.226,0.078,0.500,0.235,4,2
125,0.152,0.164,0.116,0.333,0.389,3,5
126,1.000,1.000,1.000,1.000,1.000,0,0
127,0.148,0.550,0.148,1.000,0.532,4,4
128,0.087,0.292,0.000,0.000,0.000,1,2
129,1.000,1.000,0.000,0.000,0.000,1,0
130,1.000,0.000,1.000,0.000,0.000,1,1
131,0.000,0.000,0.000,1.000,0.000,1,1
132,1.000,0.000,1.000,0.000,1.000,0,1
133,1.000,0.000,1.000,0.000,1.000,0,1
134,1.000,1.000,1.000,1.000,1.000,0,0
135,0.030,0.125,0.000,0.500,0.000,1,2
136,0.091,0.250,0.091,1.000,0.225,2,2
137,0.000,1.000,0.000,0.000,0.000,2,0
138,0.000,0.000,0.000,0.667,0.000,2,3
139,1.000,1.000,1.000,0.000,0.000,1,0
140,0.074,0.167,0.125,0.500,0.150,4,2
141,0.118,0.167,0.103,0.667,0.206,3,2
142,0.000,0.000,0.000,1.000,0.000,1,1
143,0.000,0.000,0.000,1.000,0.000,1,1
144,1.000,0.000,1.000,0.000,1.000,0,2
145,1.000,1.000,1.000,0.000,1.000,0,1
146,1.000,1.000,1.000,1.000,1.000,0,0
147,1.000,0.000,1.000,0.000,0.000,1,1
148,0.060,0.125,0.070,0.333,0.159,4,4
149,0.000,1.000,0.000,0.000,0.000,2,0
150,0.000,1.000,0.000,0.000,0.000,1,0
151,0.000,0.000,0.000,1.000,0.000,2,2
152,0.083,0.125,0.071,0.667,0.067,3,2

weak ON
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,0.000,0.000,0.000,0.400,0.000,3,4
1,0.000,0.000,0.000,0.200,0.000,1,5
2,1.000,0.000,1.000,0.000,1.000,0,3
3,0.000,0.000,0.000,0.667,0.000,2,3
4,0.010,0.051,0.037,0.118,0.045,13,6
5,0.024,0.024,0.000,0.273,0.000,4,10
6,0.023,0.037,0.020,0.188,0.048,10,9
7,0.013,0.025,0.003,0.417,0.013,7,10
8,0.016,0.046,0.031,0.250,0.160,7,8
9,0.052,0.060,0.009,0.143,0.034,5,11
10,0.033,0.090,0.021,0.333,0.136,3,5
11,0.034,0.104,0.031,0.308,0.076,10,7
12,0.041,0.090,0.025,0.529,0.072,13,13
13,0.044,0.084,0.030,0.111,0.098,5,5
14,0.002,0.016,0.137,0.013,0.028,148,3
15,1.000,0.000,1.000,0.000,1.000,0,3
16,0.000,0.000,0.007,0.429,0.017,6,4
17,0.023,0.054,0.022,0.364,0.046,9,6
18,0.031,0.066,0.010,0.125,0.077,2,7
19,0.083,0.147,0.049,0.412,0.194,10,14
20,0.000,0.000,0.000,0.500,0.000,1,2
21,0.000,0.000,0.000,0.200,0.000,1,5
22,0.038,0.089,0.039,0.455,0.207,7,9
23,0.000,0.000,0.000,0.000,0.000,1,2
24,0.032,0.058,0.032,0.500,0.101,5,7
25,0.030,0.146,0.024,0.167,0.137,3,4
26,0.039,0.188,0.039,0.333,0.209,4,4
27,0.000,0.000,0.000,0.000,0.000,1,5
28,0.006,0.025,0.000,0.200,0.000,7,5
29,0.000,0.000,0.000,0.500,0.000,2,4
30,1.000,0.000,1.000,0.000,1.000,0,4
31,0.000,0.000,0.000,0.500,0.000,1,2
32,1.000,0.000,1.000,0.000,1.000,0,5
33,0.018,0.050,0.031,0.375,0.185,5,6
34,0.008,0.015,0.005,0.429,0.019,4,6
35,0.020,0.033,0.000,0.250,0.000,2,3
36,0.000,0.000,0.000,0.333,0.000,2,2
37,0.034,0.067,0.027,0.214,0.085,9,8
38,0.034,0.078,0.039,0.312,0.146,10,11
39,0.000,0.000,0.000,0.286,0.000,4,5
40,0.014,0.050,0.004,0.200,0.010,7,5
41,1.000,0.000,1.000,0.000,1.000,0,2
42,0.013,0.076,0.000,0.167,0.000,1,6
43,0.000,0.000,0.034,0.143,0.114,4,4
44,0.021,0.060,0.023,0.333,0.076,7,5
45,0.018,0.049,0.010,0.273,0.037,7,7
46,0.035,0.087,0.016,0.400,0.068,6,8
47,0.052,0.151,0.041,0.250,0.223,5,5
48,0.036,0.091,0.043,0.235,0.177,11,10
49,0.000,0.000,0.000,0.167,0.000,2,5
50,0.022,0.040,0.000,0.100,0.000,6,5
51,0.015,0.035,0.007,0.273,0.022,7,7
52,0.000,0.000,0.000,0.429,0.000,3,7
53,0.051,0.157,0.038,0.333,0.080,13,7
54,1.000,0.000,1.000,0.000,1.000,0,2
55,1.000,0.000,1.000,0.000,1.000,0,3
56,0.029,0.086,0.011,0.333,0.061,3,5
57,0.079,0.073,0.021,0.167,0.110,4,17
58,0.007,0.062,0.006,0.250,0.019,6,4
59,0.035,0.074,0.008,0.222,0.045,4,7
60,0.037,0.056,0.000,0.000,0.000,1,6
61,0.065,0.148,0.046,0.100,0.116,7,4
62,0.018,0.032,0.022,0.462,0.057,10,9
63,0.057,0.073,0.014,0.125,0.075,3,6
64,0.038,0.108,0.013,0.222,0.062,5,6
65,0.000,0.000,0.000,0.429,0.000,4,6
66,0.024,0.062,0.027,0.429,0.084,5,5
67,0.014,0.047,0.013,0.444,0.051,7,6
68,0.000,0.000,0.000,0.333,0.000,4,4
69,0.021,0.062,0.021,0.083,0.052,8,5
70,0.017,0.061,0.024,0.143,0.102,4,4
71,0.025,0.023,0.009,0.273,0.028,3,11
72,0.000,0.000,0.009,0.000,0.033,5,1
73,1.000,0.000,1.000,0.000,1.000,0,3
74,0.000,0.000,0.011,0.111,0.043,7,3
75,0.004,0.011,0.010,0.357,0.029,9,10
76,0.000,0.000,0.000,0.167,0.000,1,6
77,0.005,0.038,0.004,0.200,0.025,4,2
78,0.021,0.041,0.013,0.385,0.042,8,10
79,0.064,0.082,0.006,0.083,0.036,2,11
80,0.003,0.222,0.000,0.333,0.000,1,3
81,0.005,0.143,0.000,0.000,0.000,3,1
82,0.100,0.092,0.018,0.125,0.083,2,7
83,0.040,0.153,0.041,0.375,0.201,5,6
84,0.088,0.173,0.006,0.091,0.022,3,9
85,0.059,0.237,0.061,0.250,0.140,10,5
86,0.034,0.086,0.025,0.333,0.095,3,5
87,0.000,0.000,0.006,0.071,0.010,13,2
88,0.028,0.093,0.034,0.333,0.149,6,6
89,1.000,0.000,1.000,0.000,1.000,0,1
90,0.026,0.048,0.035,0.500,0.086,6,6
91,0.000,0.000,0.000,0.125,0.000,1,8
92,0.014,0.033,0.000,0.000,0.000,2,6
93,0.003,0.292,0.000,0.000,0.000,1,2
94,0.007,0.118,0.005,0.500,0.030,4,5
95,0.025,0.122,0.038,0.222,0.149,7,4
96,0.000,0.000,0.009,0.000,0.030,3,4
97,0.007,0.046,0.034,0.000,0.084,11,3
98,0.026,0.042,0.014,0.333,0.083,3,5
99,0.016,0.076,0.020,0.500,0.084,7,8
100,0.013,0.018,0.032,0.429,0.090,5,5
101,0.008,0.121,0.013,0.143,0.045,6,2
102,0.027,0.039,0.009,0.111,0.021,4,6
103,0.000,0.000,0.019,0.333,0.056,2,2
104,0.043,0.051,0.000,0.111,0.000,2,8
105,0.010,0.021,0.000,0.286,0.000,3,6
106,0.036,0.065,0.016,0.231,0.044,8,8
107,0.000,0.000,0.000,0.000,0.000,1,4
108,0.043,0.108,0.036,0.444,0.162,5,8
109,0.000,0.000,0.009,0.000,0.024,7,5
110,1.000,0.000,1.000,0.000,1.000,0,1
111,0.007,0.083,0.000,0.000,0.000,2,3
112,0.055,0.126,0.049,0.286,0.164,6,3
113,0.022,0.051,0.029,0.000,0.089,8,6
114,0.000,0.000,0.000,0.250,0.000,3,2
115,1.000,0.000,1.000,0.000,1.000,0,3
116,0.000,0.000,0.004,0.286,0.012,6,12
117,1.000,0.000,1.000,0.000,1.000,0,2
118,0.029,0.075,0.014,0.083,0.051,6,7
119,0.010,0.026,0.012,0.100,0.048,5,6
120,0.007,0.014,0.005,0.250,0.014,5,5
121,0.044,0.102,0.013,0.125,0.044,4,5
122,0.000,0.000,0.000,0.000,0.000,1,1
123,0.027,0.112,0.013,0.286,0.061,4,5
124,0.010,0.028,0.000,0.000,0.000,4,3
125,0.036,0.061,0.009,0.333,0.025,5,7
126,0.006,0.018,0.028,0.273,0.036,10,4
127,1.000,0.000,1.000,0.000,1.000,0,3
128,0.000,0.000,0.024,0.200,0.100,2,4
129,0.000,0.000,0.000,0.000,0.000,1,2
130,0.000,0.000,0.000,0.000,0.000,3,1
131,0.000,0.000,0.019,0.000,0.062,2,1
132,0.031,0.050,0.000,0.250,0.000,1,4
133,0.000,0.000,0.000,0.000,0.000,1,3
134,0.000,0.000,0.000,0.333,0.000,1,3
135,0.000,0.000,0.015,0.222,0.039,7,4
136,0.020,0.016,0.014,0.375,0.031,4,7
137,0.000,0.000,0.037,0.000,0.172,7,1
138,0.020,0.100,0.000,0.000,0.000,1,2
139,0.000,0.000,0.000,0.000,0.000,2,2
140,0.000,0.000,0.000,0.500,0.000,2,4
141,0.014,0.031,0.008,0.462,0.019,9,10
142,1.000,0.000,1.000,0.000,1.000,0,3
143,0.037,0.046,0.011,0.500,0.045,2,4
144,0.000,0.000,0.000,0.000,0.000,1,8
145,0.000,0.000,0.000,0.000,0.000,1,1
146,0.000,0.000,0.000,0.000,0.000,1,3
147,1.000,0.000,1.000,0.000,1.000,0,3
148,0.017,0.030,0.000,0.000,0.000,4,3
149,0.000,0.000,0.000,0.000,0.000,2,1
150,0.000,0.000,0.000,0.333,0.000,2,2
151,0.000,0.000,0.000,0.000,0.000,2,1
152,0.000,0.000,0.000,0.200,0.000,2,4

ON
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,0.000,0.000,0.000,0.600,0.000,3,5
1,0.013,0.025,0.000,0.333,0.000,3,5
2,0.067,0.244,0.043,0.571,0.381,4,7
3,0.039,0.222,0.034,0.875,0.285,7,8
4,0.014,0.071,0.025,0.286,0.057,18,9
5,0.036,0.085,0.015,0.400,0.108,7,14
6,0.029,0.106,0.035,0.615,0.112,24,18
7,0.026,0.114,0.022,0.688,0.120,13,14
8,0.048,0.247,0.047,0.714,0.312,18,18
9,0.045,0.158,0.024,0.333,0.241,8,16
10,0.056,0.241,0.040,0.667,0.369,6,9
11,0.033,0.224,0.036,0.538,0.225,11,9
12,0.049,0.185,0.040,0.708,0.208,20,21
13,0.020,0.104,0.032,0.333,0.121,13,7
14,0.003,0.033,0.096,0.040,0.045,151,6
15,0.111,0.175,0.000,0.250,0.000,1,4
16,0.053,0.197,0.055,0.727,0.263,10,9
17,0.025,0.117,0.034,0.538,0.144,12,8
18,0.019,0.072,0.005,0.125,0.053,2,7
19,0.048,0.266,0.045,0.579,0.350,15,15
20,0.000,0.000,0.000,0.667,0.000,2,3
21,0.000,0.000,0.000,0.286,0.000,2,7
22,0.056,0.296,0.046,0.588,0.491,11,16
23,0.028,0.109,0.022,0.600,0.188,3,5
24,0.056,0.183,0.049,0.667,0.237,9,11
25,0.032,0.255,0.047,0.600,0.329,9,7
26,0.052,0.288,0.056,0.667,0.389,7,8
27,0.025,0.116,0.019,0.300,0.230,4,9
28,0.014,0.119,0.023,0.364,0.132,9,6
29,0.019,0.093,0.019,0.600,0.232,3,5
30,0.017,0.040,0.000,0.200,0.000,1,5
31,0.018,0.086,0.013,0.667,0.111,2,3
32,1.000,0.000,1.000,0.000,1.000,0,6
33,0.033,0.216,0.020,0.545,0.218,7,10
34,0.016,0.107,0.010,0.500,0.055,9,9
35,0.014,0.048,0.003,0.500,0.025,4,5
36,0.017,0.168,0.018,0.625,0.184,7,6
37,0.029,0.203,0.038,0.412,0.279,14,10
38,0.061,0.257,0.048,0.591,0.366,15,20
39,0.075,0.182,0.058,0.500,0.228,7,8
40,0.017,0.076,0.015,0.357,0.067,10,9
41,1.000,0.000,1.000,0.000,1.000,0,2
42,0.025,0.094,0.026,0.286,0.181,2,7
43,0.011,0.050,0.021,0.500,0.079,7,5
44,0.009,0.060,0.018,0.455,0.071,10,6
45,0.037,0.157,0.029,0.692,0.201,10,12
46,0.025,0.100,0.012,0.417,0.088,6,11
47,0.045,0.315,0.036,0.500,0.368,9,9
48,0.047,0.244,0.044,0.650,0.326,16,17
49,0.026,0.133,0.014,0.636,0.131,7,11
50,0.032,0.167,0.041,0.308,0.248,9,8
51,0.026,0.108,0.020,0.625,0.113,12,14
52,0.041,0.113,0.024,0.444,0.250,4,9
53,0.030,0.245,0.042,0.400,0.188,14,7
54,0.015,0.322,0.018,0.778,0.315,7,9
55,0.019,0.037,0.000,0.200,0.000,1,5
56,0.040,0.231,0.033,0.667,0.289,7,8
57,0.060,0.104,0.036,0.278,0.264,6,17
58,0.012,0.062,0.002,0.500,0.019,6,9
59,0.031,0.174,0.023,0.769,0.187,10,13
60,0.086,0.231,0.050,0.500,0.428,6,12
61,0.077,0.224,0.048,0.545,0.259,8,9
62,0.039,0.147,0.034,0.688,0.173,13,14
63,0.052,0.347,0.045,0.600,0.430,12,12
64,0.049,0.215,0.027,0.500,0.304,7,14
65,0.017,0.063,0.012,0.800,0.072,8,10
66,0.021,0.074,0.019,0.500,0.127,5,7
67,0.025,0.113,0.021,0.500,0.135,8,7
68,0.063,0.274,0.071,0.625,0.426,7,6
69,0.023,0.161,0.037,0.400,0.180,13,8
70,0.024,0.100,0.033,0.286,0.272,4,5
71,0.023,0.042,0.004,0.231,0.022,3,13
72,0.004,0.042,0.013,0.125,0.088,6,3
73,0.059,0.083,0.000,0.250,0.000,1,4
74,0.011,0.132,0.028,0.267,0.164,14,5
75,0.010,0.025,0.008,0.375,0.046,9,13
76,0.000,0.000,0.000,0.125,0.000,1,8
77,0.021,0.174,0.019,0.750,0.169,7,7
78,0.021,0.082,0.014,0.538,0.094,8,12
79,0.052,0.280,0.030,0.429,0.373,7,13
80,0.013,0.330,0.013,0.714,0.355,5,7
81,0.014,0.339,0.011,0.556,0.203,6,8
82,0.048,0.122,0.021,0.333,0.169,3,9
83,0.053,0.260,0.051,0.500,0.346,7,8
84,0.052,0.109,0.003,0.273,0.021,3,11
85,0.054,0.247,0.055,0.571,0.243,12,10
86,0.068,0.312,0.051,0.556,0.320,6,8
87,0.007,0.063,0.012,0.250,0.043,15,5
88,0.041,0.208,0.033,0.750,0.263,9,12
89,1.000,0.000,1.000,0.000,1.000,0,1
90,0.022,0.073,0.029,0.500,0.131,6,6
91,0.034,0.105,0.018,0.455,0.157,5,11
92,0.018,0.085,0.003,0.222,0.028,4,7
93,0.006,0.269,0.005,0.400,0.183,3,4
94,0.010,0.180,0.011,0.667,0.105,8,7
95,0.011,0.080,0.029,0.200,0.234,7,5
96,0.011,0.096,0.013,0.333,0.090,7,5
97,0.005,0.056,0.027,0.133,0.120,13,4
98,0.058,0.226,0.047,0.667,0.331,7,8
99,0.015,0.102,0.019,0.700,0.132,8,9
100,0.078,0.237,0.070,0.667,0.387,7,8
101,0.005,0.096,0.010,0.111,0.061,8,2
102,0.055,0.196,0.051,0.615,0.249,11,10
103,0.000,0.000,0.007,0.333,0.056,2,2
104,0.049,0.206,0.038,0.500,0.334,7,11
105,0.032,0.126,0.024,0.727,0.153,8,11
106,0.048,0.169,0.041,0.533,0.252,11,12
107,0.047,0.068,0.020,0.333,0.146,2,6
108,0.066,0.242,0.047,0.500,0.309,7,11
109,0.004,0.037,0.013,0.056,0.042,14,5
110,0.023,0.331,0.074,0.500,0.433,4,5
111,0.024,0.323,0.076,0.500,0.310,6,6
112,0.034,0.165,0.056,0.444,0.315,8,5
113,0.026,0.142,0.045,0.526,0.175,18,11
114,0.006,0.026,0.005,0.500,0.021,3,3
115,0.000,0.000,0.000,0.250,0.000,2,3
116,0.042,0.081,0.028,0.389,0.178,8,17
117,0.000,0.000,0.000,0.333,0.000,2,2
118,0.045,0.230,0.048,0.357,0.278,10,9
119,0.017,0.071,0.014,0.214,0.086,8,9
120,0.048,0.211,0.045,0.615,0.216,11,10
121,0.030,0.139,0.015,0.444,0.111,5,8
122,0.022,0.226,0.019,0.800,0.262,4,5
123,0.026,0.112,0.018,0.400,0.112,6,8
124,0.019,0.213,0.023,0.300,0.153,8,5
125,0.071,0.223,0.048,0.727,0.331,8,11
126,0.009,0.062,0.025,0.273,0.089,10,4
127,0.067,0.244,0.043,0.571,0.381,4,7
128,0.031,0.093,0.012,0.500,0.100,3,6
129,0.000,0.000,0.000,0.333,0.000,2,2
130,0.000,0.000,0.000,0.200,0.000,4,2
131,0.019,0.167,0.037,0.250,0.322,3,2
132,0.024,0.051,0.000,0.200,0.000,1,5
133,0.000,0.000,0.000,0.000,0.000,1,4
134,0.000,0.000,0.000,0.333,0.000,1,3
135,0.016,0.091,0.023,0.273,0.125,8,6
136,0.087,0.232,0.075,0.500,0.477,6,9
137,0.000,0.000,0.033,0.000,0.333,9,1
138,0.026,0.168,0.038,0.600,0.231,3,5
139,0.000,0.000,0.000,0.250,0.000,3,2
140,0.082,0.310,0.076,0.714,0.477,6,6
141,0.030,0.132,0.027,0.500,0.161,12,12
142,0.015,0.028,0.000,0.250,0.000,1,4
143,0.013,0.051,0.009,0.600,0.064,3,5
144,0.026,0.010,0.000,0.100,0.000,1,10
145,0.000,0.000,0.000,0.500,0.000,1,2
146,0.000,0.000,0.000,0.000,0.000,1,3
147,0.000,0.000,0.000,0.250,0.000,1,4
148,0.030,0.089,0.031,0.250,0.113,8,7
149,0.001,0.111,0.003,0.250,0.030,4,1
150,0.006,0.038,0.009,0.250,0.056,3,2
151,0.007,0.048,0.013,0.400,0.062,4,3
152,0.034,0.107,0.030,0.571,0.192,5,6

strong
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,1.000,0.000,1.000,0.000,1.000,0,1
1,0.000,0.000,0.000,0.000,0.000,2,1
2,0.087,0.424,0.092,1.000,0.442,4,4
3,0.094,0.362,0.092,0.833,0.422,5,6
4,0.043,0.099,0.031,0.500,0.072,5,4
5,0.038,0.045,0.000,0.200,0.000,3,9
6,0.028,0.112,0.032,0.667,0.085,15,10
7,0.039,0.138,0.045,0.500,0.148,10,8
8,0.058,0.267,0.046,0.706,0.298,12,17
9,0.060,0.250,0.032,0.417,0.301,6,11
10,0.077,0.241,0.064,0.714,0.258,6,6
11,0.067,0.254,0.092,0.429,0.519,5,5
12,0.054,0.258,0.062,0.600,0.249,18,14
13,0.010,0.068,0.034,0.364,0.086,11,4
14,0.062,0.255,0.110,0.429,0.253,7,3
15,0.000,0.000,0.000,1.000,0.000,1,1
16,0.050,0.181,0.098,0.500,0.231,10,5
17,0.046,0.146,0.035,0.600,0.179,3,5
18,1.000,0.000,1.000,0.000,1.000,0,1
19,0.040,0.362,0.067,0.438,0.374,15,8
20,0.000,0.000,0.000,0.500,0.000,1,2
21,0.000,0.000,0.000,0.333,0.000,1,3
22,0.058,0.261,0.041,0.583,0.341,7,12
23,0.000,0.000,0.000,0.667,0.000,2,3
24,0.086,0.232,0.081,0.778,0.222,8,8
25,0.039,0.247,0.061,0.500,0.184,6,3
26,0.067,0.194,0.050,0.429,0.190,4,6
27,0.073,0.205,0.043,0.500,0.311,3,6
28,0.011,0.091,0.023,0.250,0.134,3,2
29,0.049,0.138,0.043,0.600,0.311,3,5
30,0.025,0.333,0.000,0.333,0.000,1,3
31,0.022,0.268,0.033,0.667,0.236,3,2
32,0.000,0.000,0.000,0.250,0.000,1,4
33,0.041,0.265,0.033,0.636,0.207,9,9
34,0.015,0.111,0.014,0.182,0.044,9,4
35,0.013,0.100,0.011,1.000,0.100,2,2
36,0.039,0.309,0.036,0.667,0.302,5,5
37,0.028,0.246,0.050,0.357,0.281,12,7
38,0.069,0.388,0.064,0.812,0.406,14,15
39,0.139,0.127,0.087,0.500,0.283,3,6
40,0.038,0.045,0.027,0.286,0.094,4,5
41,0.000,0.000,0.016,0.200,0.043,5,1
42,0.037,0.083,0.040,0.667,0.083,2,3
43,0.021,0.067,0.038,0.500,0.167,3,3
44,0.024,0.036,0.000,0.167,0.000,3,4
45,0.103,0.237,0.072,0.667,0.339,6,9
46,0.003,0.023,0.016,0.333,0.057,8,4
47,0.042,0.297,0.038,0.500,0.311,7,8
48,0.049,0.299,0.063,0.750,0.309,16,12
49,0.024,0.184,0.034,0.700,0.167,10,7
50,0.032,0.160,0.037,0.667,0.125,6,4
51,0.051,0.128,0.040,0.700,0.173,7,10
52,0.056,0.144,0.000,0.333,0.000,1,3
53,0.000,0.000,0.000,0.500,0.000,2,1
54,0.139,0.336,0.119,1.000,0.339,7,7
55,0.059,0.067,0.000,0.333,0.000,1,3
56,0.097,0.281,0.081,0.833,0.448,5,6
57,0.034,0.070,0.011,0.100,0.089,3,8
58,1.000,0.000,1.000,0.000,1.000,0,6
59,0.038,0.181,0.046,0.533,0.174,13,10
60,0.125,0.299,0.080,0.625,0.467,5,8
61,0.111,0.255,0.086,0.556,0.309,7,7
62,0.061,0.187,0.034,0.556,0.151,5,9
63,0.061,0.489,0.059,0.750,0.468,11,10
64,0.061,0.248,0.046,0.471,0.252,11,14
65,0.015,0.096,0.038,0.500,0.133,12,6
66,0.067,0.097,0.040,0.667,0.200,2,3
67,0.138,0.192,0.077,0.800,0.355,4,5
68,0.032,0.225,0.131,0.286,0.376,7,2
69,0.033,0.188,0.077,0.385,0.237,12,6
70,0.000,0.000,0.000,1.000,0.000,1,1
71,0.000,0.000,0.016,0.143,0.100,2,6
72,0.019,0.100,0.037,0.250,0.194,3,2
73,0.250,0.250,0.000,0.500,0.000,1,2
74,0.023,0.211,0.040,0.500,0.195,12,6
75,0.010,0.040,0.000,0.125,0.000,4,5
76,0.102,0.170,0.038,0.600,0.122,3,5
77,0.042,0.316,0.036,0.667,0.366,4,6
78,0.014,0.088,0.026,0.375,0.125,6,5
79,0.059,0.228,0.030,0.417,0.327,5,12
80,0.130,0.388,0.102,0.800,0.440,4,5
81,0.148,0.307,0.090,0.625,0.306,5,8
82,0.042,0.109,0.031,0.167,0.171,2,5
83,0.081,0.331,0.070,0.600,0.278,4,4
84,0.053,0.115,0.037,0.857,0.087,6,7
85,0.044,0.157,0.024,0.333,0.065,6,6
86,0.072,0.236,0.051,0.750,0.229,3,4
87,0.019,0.071,0.033,0.400,0.053,10,4
88,0.074,0.126,0.021,0.400,0.103,4,10
89,1.000,1.000,1.000,1.000,1.000,0,0
90,1.000,1.000,1.000,1.000,1.000,0,0
91,0.138,0.155,0.075,0.571,0.355,4,7
92,0.000,0.000,0.043,0.333,0.100,2,2
93,0.070,0.331,0.036,0.250,0.146,2,3
94,0.028,0.048,0.027,0.600,0.056,4,4
95,1.000,0.333,1.000,0.000,1.000,0,3
96,0.011,0.094,0.014,0.750,0.095,4,3
97,0.000,0.000,0.111,0.200,0.208,4,2
98,0.080,0.333,0.096,0.714,0.390,7,5
99,0.040,0.097,0.052,0.250,0.153,5,5
100,0.111,0.095,0.056,0.400,0.225,2,5
101,0.000,0.000,0.010,0.143,0.022,7,1
102,0.112,0.310,0.078,0.750,0.315,7,7
103,0.000,1.000,0.000,0.000,0.000,1,0
104,0.075,0.234,0.067,0.500,0.330,7,8
105,0.045,0.192,0.046,0.714,0.184,6,6
106,0.111,0.242,0.079,0.444,0.433,5,8
107,0.118,0.159,0.000,0.333,0.000,1,3
108,0.092,0.357,0.087,0.375,0.250,6,5
109,0.000,1.000,0.006,0.000,0.010,7,0
110,0.090,0.339,0.126,0.500,0.466,5,4
111,0.130,0.388,0.102,0.800,0.440,4,5
112,0.012,0.139,0.086,0.250,0.313,8,2
113,0.047,0.199,0.045,0.727,0.152,10,9
114,0.000,0.000,0.000,1.000,0.000,2,2
115,0.000,0.000,0.000,0.500,0.000,2,1
116,0.113,0.084,0.061,0.400,0.292,4,10
117,0.000,0.000,0.000,0.000,0.000,2,1
118,0.054,0.312,0.094,0.600,0.327,5,3
119,0.020,0.117,0.019,0.714,0.113,6,6
120,0.069,0.223,0.066,1.000,0.225,8,8
121,0.038,0.157,0.023,0.375,0.139,4,7
122,0.036,0.358,0.036,1.000,0.366,4,4
123,0.000,0.000,0.011,0.286,0.100,4,5
124,0.033,0.308,0.068,0.333,0.227,9,3
125,0.120,0.262,0.086,0.667,0.434,6,9
126,0.004,0.083,0.009,0.200,0.037,5,1
127,0.087,0.424,0.092,1.000,0.442,4,4
128,0.035,0.238,0.018,0.250,0.074,3,2
129,0.000,0.000,0.000,1.000,0.000,1,1
130,0.000,0.000,0.000,0.333,0.000,3,1
131,0.000,0.000,0.000,1.000,0.000,1,1
132,1.000,0.000,1.000,0.000,1.000,0,2
133,1.000,0.000,1.000,0.000,1.000,0,1
