1 144 1 1
2 144 4 1
3 144 2 3
4 144 1 6
5 144 4 6
6 144 1 12
7 144 4 12
8 144 1 13
9 144 4 13
10 144 1 16
11 144 4 16
12 144 2 32
13 144 2 67
14 144 2 71
15 144 2 97
16 144 2 129
17 33 2 6
18 33 4 6
19 33 1 8
20 33 4 8
21 33 2 13
22 33 4 13
23 33 1 16
24 33 4 16
25 33 1 36
26 33 3 36
27 33 2 41
28 33 4 41
29 33 1 42
30 33 3 42
31 33 2 43
32 33 4 43
33 33 2 44
34 33 4 44
35 33 1 55
36 33 3 55
37 33 2 71
38 33 4 71
39 33 2 73
40 33 4 73
41 33 2 94
42 33 2 97
43 33 2 106
44 33 1 122
45 33 3 122
46 33 2 137
344 69 2 20
345 69 2 59
346 69 4 59
347 69 1 61
348 69 3 61
349 118 1 4
350 118 4 4
351 118 1 19
352 118 4 19
353 118 1 22
354 118 4 22
355 118 2 34
356 118 4 34
357 118 1 76
358 118 4 76
359 118 1 80
360 118 4 80
361 118 1 83
362 118 3 83
363 118 1 99
364 118 3 99
365 118 2 133
366 118 4 133
367 118 1 135
368 118 4 135
369 107 1 1
370 107 4 1
371 107 1 3
372 107 3 3
373 107 2 7
374 107 4 7
375 107 2 8
376 107 4 8
377 107 2 12
378 107 4 12
379 107 2 13
380 107 4 13
381 107 1 15
382 107 4 15
383 107 1 16
384 107 4 16
385 107 1 23
386 107 3 23
387 107 2 24
388 107 4 24
389 107 1 43
390 107 3 43
391 107 1 44
392 107 3 44
393 107 1 51
394 107 3 51
395 107 1 52
396 107 4 52
397 107 1 66
398 107 4 66
399 107 1 71
400 107 4 71
401 107 1 73
402 107 3 73
403 107 2 90
404 107 4 90
405 107 2 94
406 107 4 94
407 107 1 96
408 107 4 96
409 107 1 97
410 107 4 97
411 107 1 106
412 107 3 106
413 107 1 128
414 107 3 128
415 107 1 129
416 107 3 129
417 107 1 130
418 107 4 130
419 107 1 136
420 107 4 136
421 107 1 137
422 107 4 137
423 107 1 143
424 107 4 143
425 107 2 144
426 107 4 144
427 129 1 1
428 129 3 1
429 129 2 2
430 129 1 3
431 129 4 3
432 129 2 6
433 129 4 6
434 129 2 8
435 129 2 15
436 129 2 16
437 129 4 16
438 129 2 22
