148,1,103
133,1,147
22,4,30
116,2,109
127,2,108
129,2,33
149,4,121
105,4,127
118,2,123
215,1,221
22,4,86
144,3,120
43,2,34
116,1,122
144,1,148
116,2,109
130,2,46
43,1,133
149,1,121
6,3,47
136,1,121
22,2,207
110,2,126
198,1,190
89,2,53
89,2,10
43,4,44
51,4,6
64,2,191
22,2,80
106,1,109
147,4,116
109,4,140
111,4,115
202,3,192
133,2,6
78,3,91
128,2,127
133,2,109
88,3,83
195,1,189
115,1,111
111,4,125
115,3,134
105,4,103
111,3,120
89,4,204
109,4,147
89,3,56
22,2,205
88,2,132
131,4,118
131,2,149
190,1,192
43,4,195
133,1,141
134,4,43
43,4,218
136,2,103
131,2,147
133,2,14
134,4,107
43,2,115
27,4,10
64,2,193
111,3,113
116,2,133
133,1,134
22,4,136
130,2,10
43,2,123
115,1,110
134,4,103
83,4,221
116,1,130
110,1,104
22,4,116
82,4,64
189,1,190
203,2,204
119,4,104
127,2,106
130,3,116
43,2,223
133,2,149
145,1,124
144,3,110
221,3,213
89,2,213
43,4,189
195,2,78
22,2,4
196,3,201
89,4,28
22,2,107
43,4,149
134,1,122
22,4,59
147,2,133
22,2,155
143,1,125
197,1,195
89,3,221
140,2,135
192,2,78
86,1,91
109,4,108
109,4,110
111,2,115
132,1,121
64,1,192
133,2,207
127,1,30
197,3,211
130,4,138
202,3,88
113,3,120
43,2,148
22,4,205
89,4,26
118,2,53
22,4,57
131,4,104
43,2,60
115,3,117
204,1,202
219,3,196
43,2,132
106,3,113
219,1,201
22,2,217
149,2,126
43,1,140
64,1,91
129,2,144
192,2,200
6,2,28
203,3,190
22,2,145
195,1,220
129,2,116
133,2,130
192,2,191
117,4,126
140,2,147
201,3,196
140,4,195
131,4,109
133,2,217
106,2,125
111,1,112
109,2,115
43,2,208
22,2,116
127,3,110
225,1,192
89,3,201
112,1,120
143,1,114
22,4,46
131,2,64
116,4,125
22,4,38
136,3,130
125,1,119
91,2,86
119,4,106
197,2,103
215,4,218
43,4,122
22,2,135
89,4,121
125,2,139
127,1,136
22,2,204
116,4,135
131,2,119
43,2,216
140,2,43
133,2,13
120,2,116
64,4,89
129,2,128
133,2,35
118,1,109
43,4,207
22,4,221
22,2,13
116,3,52
136,1,127
86,1,203
43,4,198
129,2,140
118,1,147
43,4,208
192,1,220
111,4,106
125,1,122
129,2,121
6,1,47
43,1,41
192,4,140
86,4,203
143,1,129
221,1,218
133,2,106
125,1,133
22,2,132
198,1,192
144,2,131
116,4,140
78,2,64
22,2,125
43,4,132
43,2,109
113,2,103
22,4,198
78,1,91
43,1,4
22,4,83
40,3,58
144,1,147
189,3,203
131,1,105
116,2,124
200,1,212
132,3,145
89,2,188
140,1,195
127,3,122
118,1,128
136,2,124
197,2,4
116,4,149
111,2,116
120,3,130
143,2,109
144,1,140
132,2,149
130,2,140
89,3,2
133,4,79
204,1,190
119,4,103
208,4,107
110,3,130
192,3,225
128,4,194
143,2,133
200,3,189
112,4,113
112,4,129
195,4,197
43,2,52
105,4,113
120,3,106
22,2,81
128,2,108
118,3,149
133,2,8
78,4,82
110,1,141
89,2,20
43,2,200
144,1,130
43,2,47
43,4,192
125,4,122
206,3,202
