bms,Reciprocity,tc2,tp2
strong OFF,0.445,0.153,0.168
weak OFF,0.154,0.029,0.039
OFF,0.467,0.147,0.190
strong ON,0.465,0.141,0.136
weak ON,0.204,0.045,0.049
ON,0.442,0.133,0.173
strong,0.482,0.159,0.177
weak,0.278,0.061,0.074
all,0.492,0.155,0.200
